Station,Habitat,Trap code,Coord.,Alt.,Date,Period,Fraction,Number,Dry weights (g),Comments,Status
ALBALF1,ALF,ALBALF11,N33.20048 W4.03557,1089,4/17/2017,April,Messor,0,0,,WT
ALBALF1,ALF,ALBALF11,N33.20048 W4.03557,1089,4/17/2017,April,Other,,0.01399,,WT
ALBALF1,ALF,ALBALF11,N33.20048 W4.03557,1089,4/17/2017,April,Tenebrionidae Diet,0,0,,WT
ALBALF1,ALF,ALBALF11,N33.20048 W4.03557,1089,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBALF1,ALF,ALBALF12,N33.20020 W4.03522,1086,4/17/2017,April,Messor,0,0,,WT
ALBALF1,ALF,ALBALF12,N33.20020 W4.03522,1086,4/17/2017,April,Other,,0.02013,,WT
ALBALF1,ALF,ALBALF12,N33.20020 W4.03522,1086,4/17/2017,April,Tenebrionidae Diet,0,0,,WT
ALBALF1,ALF,ALBALF12,N33.20020 W4.03522,1086,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBALF1,ALF,ALBALF13,N33.19983 W4.03558,1080,4/17/2017,April,Messor,0,0,,WT
ALBALF1,ALF,ALBALF13,N33.19983 W4.03558,1080,4/17/2017,April,Other,,0.01,,WT
ALBALF1,ALF,ALBALF13,N33.19983 W4.03558,1080,4/17/2017,April,Tenebrionidae Diet,0,0,,WT
ALBALF1,ALF,ALBALF13,N33.19983 W4.03558,1080,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBALF1,ALF,ALBALF14,N33.20018 W4.03589,1089,4/17/2017,April,Messor,0,0,,WT
ALBALF1,ALF,ALBALF14,N33.20018 W4.03589,1089,4/17/2017,April,Other,,0.00331,,WT
ALBALF1,ALF,ALBALF14,N33.20018 W4.03589,1089,4/17/2017,April,Tenebrionidae Diet,0,0,,WT
ALBALF1,ALF,ALBALF14,N33.20018 W4.03589,1089,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBLDD+1,WED,ALBLDD+11,N33.13890 W3.98580,918,4/17/2017,April,Messor,1,0.00175,,WT
ALBLDD+1,WED,ALBLDD+11,N33.13890 W3.98580,918,4/17/2017,April,Other,,0.12447,,WT
ALBLDD+1,WED,ALBLDD+11,N33.13890 W3.98580,918,4/17/2017,April,Tenebrionidae Diet,0,0,,WT
ALBLDD+1,WED,ALBLDD+11,N33.13890 W3.98580,918,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBLDD+1,WED,ALBLDD+12,N33.13904 W3.98650,914,4/17/2017,April,Messor,0,0,,WT
ALBLDD+1,WED,ALBLDD+12,N33.13904 W3.98650,914,4/17/2017,April,Other,,0.025,,WT
ALBLDD+1,WED,ALBLDD+12,N33.13904 W3.98650,914,4/17/2017,April,Tenebrionidae Diet,0,0,,WT
ALBLDD+1,WED,ALBLDD+12,N33.13904 W3.98650,914,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBLDD+1,WED,ALBLDD+13,N33.13910 W3.98701,908,4/17/2017,April,Messor,0,0,,WT
ALBLDD+1,WED,ALBLDD+13,N33.13910 W3.98701,908,4/17/2017,April,Other,,0.54286,,WT
ALBLDD+1,WED,ALBLDD+13,N33.13910 W3.98701,908,4/17/2017,April,Tenebrionidae Diet,1,0.04351,,WT
ALBLDD+1,WED,ALBLDD+13,N33.13910 W3.98701,908,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBLDD+1,WED,ALBLDD+14,N33.13922 W3.98748,926,4/17/2017,April,Messor,1,0.00175,,WT
ALBLDD+1,WED,ALBLDD+14,N33.13922 W3.98748,926,4/17/2017,April,Other,,0.05497,,WT
ALBLDD+1,WED,ALBLDD+14,N33.13922 W3.98748,926,4/17/2017,April,Tenebrionidae Diet,0,0,,WT
ALBLDD+1,WED,ALBLDD+14,N33.13922 W3.98748,926,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBLDD1,WED,ALBLDD11,N33.17198 W3.97856,958,4/17/2017,April,Messor,0,0,,WT
ALBLDD1,WED,ALBLDD11,N33.17198 W3.97856,958,4/17/2017,April,Other,,0.04067,,WT
ALBLDD1,WED,ALBLDD11,N33.17198 W3.97856,958,4/17/2017,April,Tenebrionidae Diet,1,0.05905,,WT
ALBLDD1,WED,ALBLDD11,N33.17198 W3.97856,958,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBLDD1,WED,ALBLDD12,N33.17232 W3.97776,956,4/17/2017,April,Messor,4,0.00476,,WT
ALBLDD1,WED,ALBLDD12,N33.17232 W3.97776,956,4/17/2017,April,Other,,0.14841,,WT
ALBLDD1,WED,ALBLDD12,N33.17232 W3.97776,956,4/17/2017,April,Tenebrionidae Diet,2,2.03117,,WT
ALBLDD1,WED,ALBLDD12,N33.17232 W3.97776,956,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBLDD1,WED,ALBLDD13,N33.17216 W3.97769,957,4/17/2017,April,Messor,2,0.00514,,WT
ALBLDD1,WED,ALBLDD13,N33.17216 W3.97769,957,4/17/2017,April,Other,,0.06307,,WT
ALBLDD1,WED,ALBLDD13,N33.17216 W3.97769,957,4/17/2017,April,Tenebrionidae Diet,1,1.45107,,WT
ALBLDD1,WED,ALBLDD13,N33.17216 W3.97769,957,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBLDD1,WED,ALBLDD14,N33.17182 W3.97850,958,4/17/2017,April,Messor,0,0,,WT
ALBLDD1,WED,ALBLDD14,N33.17182 W3.97850,958,4/17/2017,April,Other,,0.08357,,WT
ALBLDD1,WED,ALBLDD14,N33.17182 W3.97850,958,4/17/2017,April,Tenebrionidae Diet,0,0,,WT
ALBLDD1,WED,ALBLDD14,N33.17182 W3.97850,958,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBREG1,REG,ALBREG11,N33.14206 W3.94076,900,4/17/2017,April,Messor,0,0,,WT
ALBREG1,REG,ALBREG11,N33.14206 W3.94076,900,4/17/2017,April,Other,,0.02064,,WT
ALBREG1,REG,ALBREG11,N33.14206 W3.94076,900,4/17/2017,April,Tenebrionidae Diet,0,0,,WT
ALBREG1,REG,ALBREG11,N33.14206 W3.94076,900,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBREG1,REG,ALBREG12,N33.14213 W3.94027,899,4/17/2017,April,Messor,0,0,,WT
ALBREG1,REG,ALBREG12,N33.14213 W3.94027,899,4/17/2017,April,Other,,0.00815,,WT
ALBREG1,REG,ALBREG12,N33.14213 W3.94027,899,4/17/2017,April,Tenebrionidae Diet,0,0,,WT
ALBREG1,REG,ALBREG12,N33.14213 W3.94027,899,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBREG1,REG,ALBREG13,N33.14170 W3.94022,898,4/17/2017,April,Messor,0,0,,WT
ALBREG1,REG,ALBREG13,N33.14170 W3.94022,898,4/17/2017,April,Other,,0.3762,,WT
ALBREG1,REG,ALBREG13,N33.14170 W3.94022,898,4/17/2017,April,Tenebrionidae Diet,1,0.63806,,WT
ALBREG1,REG,ALBREG13,N33.14170 W3.94022,898,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBREG1,REG,ALBREG14,N33.14163 W3.94069,900,4/17/2017,April,Messor,0,0,,WT
ALBREG1,REG,ALBREG14,N33.14163 W3.94069,900,4/17/2017,April,Other,,0.00729,,WT
ALBREG1,REG,ALBREG14,N33.14163 W3.94069,900,4/17/2017,April,Tenebrionidae Diet,0,0,,WT
ALBREG1,REG,ALBREG14,N33.14163 W3.94069,900,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBSEP1,EPA,ALBSEP11,N33.14994 W3.94155,904,4/17/2017,April,Messor,0,0,,WT
ALBSEP1,EPA,ALBSEP11,N33.14994 W3.94155,904,4/17/2017,April,Other,,0.00619,,WT
ALBSEP1,EPA,ALBSEP11,N33.14994 W3.94155,904,4/17/2017,April,Tenebrionidae Diet,0,0,,WT
ALBSEP1,EPA,ALBSEP11,N33.14994 W3.94155,904,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBSEP1,EPA,ALBSEP12,N33.14993 W3.94105,904,4/17/2017,April,Messor,3,0.0024,,WT
ALBSEP1,EPA,ALBSEP12,N33.14993 W3.94105,904,4/17/2017,April,Other,,0.00491,,WT
ALBSEP1,EPA,ALBSEP12,N33.14993 W3.94105,904,4/17/2017,April,Tenebrionidae Diet,1,1.13119,,WT
ALBSEP1,EPA,ALBSEP12,N33.14993 W3.94105,904,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBSEP1,EPA,ALBSEP13,N33.14947 W3.94111,906,4/17/2017,April,Messor,0,0,,WT
ALBSEP1,EPA,ALBSEP13,N33.14947 W3.94111,906,4/17/2017,April,Other,,0.01422,,WT
ALBSEP1,EPA,ALBSEP13,N33.14947 W3.94111,906,4/17/2017,April,Tenebrionidae Diet,0,0,,WT
ALBSEP1,EPA,ALBSEP13,N33.14947 W3.94111,906,4/17/2017,April,Tenebrionidae Other,0,0,,WT
ALBSEP1,EPA,ALBSEP14,N33.14949 W3.94163,906,4/17/2017,April,Messor,0,0,,WT
ALBSEP1,EPA,ALBSEP14,N33.14949 W3.94163,906,4/17/2017,April,Other,,0.02713,,WT
