Station,Habitat,Trap code,Coord.,Alt.,Date,Period,Fraction,Number,Dry weights (g),Comments,Status
ALBALF1,ALF,ALBALF11,N33.20048 W4.03557,1089,4/16/2018,April,Messor,0,0,,WT
ALBALF1,ALF,ALBALF11,N33.20048 W4.03557,1089,4/16/2018,April,Other,,0.00767,,WT
ALBALF1,ALF,ALBALF11,N33.20048 W4.03557,1089,4/16/2018,April,Tenebrionidae Diet,0,0,,WT
ALBALF1,ALF,ALBALF11,N33.20048 W4.03557,1089,4/16/2018,April,Tenebrionidae Other,0,0,,WT
ALBALF1,ALF,ALBALF12,N33.20020 W4.03522,1086,4/16/2018,April,Messor,0,0,,WT
ALBALF1,ALF,ALBALF12,N33.20020 W4.03522,1086,4/16/2018,April,Other,,0.02074,,WT
ALBALF1,ALF,ALBALF12,N33.20020 W4.03522,1086,4/16/2018,April,Tenebrionidae Diet,0,0,,WT
ALBALF1,ALF,ALBALF12,N33.20020 W4.03522,1086,4/16/2018,April,Tenebrionidae Other,0,0,,WT
ALBALF1,ALF,ALBALF13,N33.19983 W4.03558,1080,4/16/2018,April,Messor,0,0,,WT
ALBALF1,ALF,ALBALF13,N33.19983 W4.03558,1080,4/16/2018,April,Other,,0.00676,,WT
ALBALF1,ALF,ALBALF13,N33.19983 W4.03558,1080,4/16/2018,April,Tenebrionidae Diet,0,0,,WT
ALBALF1,ALF,ALBALF13,N33.19983 W4.03558,1080,4/16/2018,April,Tenebrionidae Other,0,0,,WT
ALBALF1,ALF,ALBALF14,N33.20018 W4.03589,1089,4/16/2018,April,Messor,0,0,,WT
ALBALF1,ALF,ALBALF14,N33.20018 W4.03589,1089,4/16/2018,April,Other,,0.0745,,WT
ALBALF1,ALF,ALBALF14,N33.20018 W4.03589,1089,4/16/2018,April,Tenebrionidae Diet,0,0,,WT
ALBALF1,ALF,ALBALF14,N33.20018 W4.03589,1089,4/16/2018,April,Tenebrionidae Other,0,0,,WT
ALBLDD+1,WED,ALBLDD+11,N33.13890 W3.98580,918,4/16/2018,April,Messor,0,0,pot plein de sable,BP
ALBLDD+1,WED,ALBLDD+11,N33.13890 W3.98580,918,4/16/2018,April,Other,,0,pot plein de sable,BP
ALBLDD+1,WED,ALBLDD+11,N33.13890 W3.98580,918,4/16/2018,April,Tenebrionidae Diet,0,0,pot plein de sable,BP
ALBLDD+1,WED,ALBLDD+11,N33.13890 W3.98580,918,4/16/2018,April,Tenebrionidae Other,0,0,pot plein de sable,BP
ALBLDD+1,WED,ALBLDD+12,N33.13904 W3.98650,914,4/16/2018,April,Messor,0,0,pot plein de sable,BP
