Station,Code,Habitat,Trap.code,Coord.,Longitude,Latitude,Alt.,Date,Period,Fraction,Number,Dry.weights..g.,Comments,Status
PP40NE2,REG,Reg,PP40NE21,N29.90041 W7.45926,NA,NA,664,5/18/2016,April,Messor,5,0.00862,NA,WT
PP40NE3,EPA,Alluvial spread area,PP40NE32,N29.87689 W7.46083,NA,NA,652,5/18/2016,April,Messor,8,0.01207,NA,WT
PP40NE4,REG,Reg,PP40NE41,N29.88211 W7.49193,NA,NA,663,5/18/2016,April,Messor,0,0,NA,WT
PP40NE5,REG,Reg,PP40NE51,N29.88935 W7.47235,NA,NA,659,5/25/2016,April,Messor,2,0.00382,NA,WT
SANS1,SAN,Salty steppe,SANS11,N32.31466 W2.37930,NA,NA,949,4/20/2017,April,Messor,4,0.0058,NA,WT
SANS2,SAN,Salty steppe,SANS21,N32.33019 W2.37082,NA,NA,997,4/20/2017,April,Messor,0,0,NA,WT
SANS3,SAN,Salty steppe,SANS31,N32.26674 W2.39763,NA,NA,1000,4/20/2017,April,Messor,0,0,NA,WT
SANS4,SAN,Salty steppe,SANS41,N32.27118 W2.37016,NA,NA,1004,4/20/2017,April,Messor,1,0.0019,NA,WT
SANS5,SAN,Salty steppe,SANS51,N32.33981 W2.36162,NA,NA,1006,4/20/2017,April,Messor,7,0.02551,NA,WT
UB24SW1,REG,Reg,UB24SW11,N32.91747 W4.91167,32.91747,4.91167,1509,4/25/2015,April,Messor,0,0,NA,WT
UB24SW2,REG,Reg,UB24SW21,N32.91781 W4.88501,32.91781,4.88501,1517,4/25/2015,April,Messor,0,0,NA,WT
UB24SW3,EPA,Alluvial spread area,UB24SW31,N32.89505 W4.88427,32.89505,4.88427,1446,4/25/2015,April,Messor,0,0,NA,WT
UB24SW4,EPA,Alluvial spread area,UB24SW41,N32.89479 W4.91111,32.89479,4.91111,1463,4/25/2015,April,Messor,0,0,NA,WT
UB24SW5,REG,Reg,UB24SW51,N32.90639 W4.89868,32.90639,4.89868,1480,4/25/2015,April,Messor,0,0,NA,WT
VB02SE1,REG,Reg,VB02SE11,N32.74766 W4.00092,32.74766,4.00092,1243,5/1/2015,April,Messor,0,0,NA,WT
VB02SE2,REG,Reg,VB02SE21,N32.74785 W3.97404,32.74785,3.97404,1248,5/1/2015,April,Messor,0,0,NA,WT
VB02SE3,REG,Reg,VB02SE31,N32.72507 W3.97363,32.72507,3.97363,1310,5/1/2015,April,Messor,0,0,NA,WT
VB02SE4,ALF,Macrochloa steppe,VB02SE41,N32.72484 W4.00028,32.72484,4.00028,1308,5/1/2015,April,Messor,0,0,NA,WT
VB02SE5,EPA,Alluvial spread area,VB02SE51,N32.73640 W3.98738,32.7364,3.98738,1271,5/1/2015,April,Messor,0,0,NA,WT
VB14SW1,REG,Reg,VB14SW11,N32.92837 W3.94942,32.92837,3.94942,1034,4/30/2015,April,Messor,0,0,NA,WT
VB14SW2,REG,Reg,VB14SW21,N32.92820 W3.92241,32.9282,3.92241,1040,4/30/2015,April,Messor,0,0,NA,WT
VB14SW3,REG,Reg,VB14SW31,N32.90604 W3.92205,32.90604,3.92205,1062,4/30/2015,April,Messor,0,0,NA,WT
