Refernce_Point_Name,Refernce_Point_Latitude,Refernce_Point_Longitude
EAS097,33.266,-1.959
EAS098,33.266,-1.927
EAS099,33.266,-1.895
EAS100,33.265,-1.862
EAS101,33.265,-1.830
EAS102,33.265,-1.798
EAS103,33.293,-1.959
EAS104,33.293,-1.927
EAS105,33.293,-1.894
EAS106,33.294,-1.862
EAS107,33.292,-1.830
EAS108,33.292,-1.798
EAS109,33.320,-1.958
EAS110,33.317,-1.925
EAS111,33.320,-1.894
EAS112,33.319,-1.862
EAS113,33.319,-1.830
EAS114,33.319,-1.797
EAS115,33.347,-1.926
EAS116,33.347,-1.894
EAS117,33.346,-1.861
EAS118,33.346,-1.829
EAS119,33.346,-1.797
EAS120,33.374,-1.926
EAS121,33.374,-1.893
EAS122,33.373,-1.861
EAS123,33.373,-1.829
EAS124,33.373,-1.797
EAS125,33.401,-1.925
EAS126,33.401,-1.893
EAS127,33.400,-1.861
EAS128,33.400,-1.828
EAS129,33.400,-1.796
EAS130,33.428,-1.925
EAS131,33.428,-1.893
EAS132,33.428,-1.860
EAS133,33.427,-1.828
EAS134,33.427,-1.796
EAS135,33.427,-1.764
EAS136,33.455,-1.925
EAS137,33.455,-1.892
EAS138,33.455,-1.861
EAS139,33.454,-1.828
EAS140,33.454,-1.795
EAS141,33.454,-1.763
EAS142,33.482,-1.924
EAS143,33.482,-1.892
EAS144,33.482,-1.860
EAS145,33.481,-1.827
EAS146,33.481,-1.795
EAS147,33.481,-1.763
EAS148,33.509,-1.924
EAS149,33.509,-1.892
EAS150,33.509,-1.859
EAS151,33.508,-1.827
EAS152,33.508,-1.795
EAS153,33.536,-1.924
EAS154,33.536,-1.891
EAS155,33.536,-1.859
EAS156,33.536,-1.827
EAS157,33.535,-1.794
EAS158,33.564,-1.924
EAS159,33.563,-1.891
EAS160,33.561,-1.860
EAS161,33.563,-1.826
EAS162,33.564,-1.793
EAS163,33.590,-1.923
EAS164,33.590,-1.891
EAS165,33.590,-1.858
EAS166,33.590,-1.826
EAS167,33.617,-1.923
EAS168,33.617,-1.890
EAS169,33.617,-1.858
EAS170,33.617,-1.826
EAS171,33.645,-1.954
EAS172,33.644,-1.922
EAS173,33.645,-1.891
EAS174,33.644,-1.860
EAS175,33.672,-1.954
EAS176,33.672,-1.922
EAS177,33.671,-1.890
EAS178,33.699,-1.954
EAS179,33.699,-1.922
EAS180,33.698,-1.889
EAS181,33.726,-1.954
EAS182,33.726,-1.921
EAS183,33.725,-1.889
EAS184,33.753,-1.954
EAS185,33.753,-1.921
EAS186,33.752,-1.889
EAS187,33.752,-1.856
EAS188,33.780,-1.953
EAS189,33.780,-1.921
EAS190,33.779,-1.888
EAS191,33.779,-1.856
EAS192,33.807,-1.953
EAS193,33.807,-1.920
EAS194,33.807,-1.888
EAS195,33.806,-1.856
EAS196,33.835,-1.985
EAS197,33.834,-1.952
EAS198,33.834,-1.920
EAS199,33.834,-1.887
EAS200,33.833,-1.855
EAS201,33.862,-1.984
EAS202,33.861,-1.952
EAS203,33.862,-1.921
EAS204,33.861,-1.887
EAS205,33.861,-1.854
EAS206,33.889,-1.984
EAS207,33.888,-1.949
EAS208,33.888,-1.919
EAS209,33.888,-1.887
EAS210,33.888,-1.854
EAS227,33.589,-1.793
EAS300,33.237,-1.766
EAS301,33.264,-1.766
EAS302,33.264,-1.734
EAS303,33.291,-1.765
EAS304,33.291,-1.733
EAS305,33.318,-1.765
EAS306,33.318,-1.733
EAS307,33.345,-1.765
EAS308,33.345,-1.732
EAS309,33.372,-1.767
EAS310,33.372,-1.732
EAS311,33.400,-1.764
EAS312,33.399,-1.732
EAS313,33.426,-1.731
EAS314,33.453,-1.731
EAS315,33.453,-1.699
EAS316,33.480,-1.731
EAS317,33.480,-1.698
EAS318,33.508,-1.762
EAS319,33.507,-1.730
EAS320,33.507,-1.698
EAS321,33.535,-1.762
EAS322,33.535,-1.730
EAS323,33.534,-1.697
EAS324,33.562,-1.762
EAS325,33.562,-1.729
EAS326,33.561,-1.697
EAS328,33.589,-1.762
EAS329,33.588,-1.730
EAS330,33.615,-1.728
EAS331,33.616,-1.793
EAS332,33.616,-1.759
EAS334,33.644,-1.827
EAS335,33.641,-1.791
EAS336,33.645,-1.759
EAS337,33.671,-1.858
EAS338,33.671,-1.825
EAS339,33.670,-1.792
EAS340,33.698,-1.857
EAS341,33.698,-1.824
EAS342,33.725,-1.856
EAS343,33.726,-1.826
EAS344,33.752,-1.824
EAS345,33.751,-1.789
EAS346,33.779,-1.823
EAS347,33.780,-1.790
EAS348,33.806,-1.823
EAS349,33.806,-1.791
EAS350,33.805,-1.758
EAS351,33.833,-1.822
EAS352,33.835,-1.790
EAS353,33.831,-1.759
EAS354,33.861,-1.823
EAS355,33.860,-1.790
EGC004,30.610,28.591
EGC005,30.610,28.643
EGC011,30.656,28.539
EGC012,30.656,28.592
EGC013,30.653,28.643
EGC014,30.654,28.696
EGC018,30.702,28.488
EGC019,30.700,28.540
EGC020,30.701,28.592
EGC021,30.701,28.643
EGC022,30.699,28.700
EGC023,30.699,28.749
EGC025,30.747,28.436
EGC026,30.747,28.488
EGC027,30.747,28.541
EGC028,30.746,28.593
EGC029,30.744,28.647
EGC030,30.744,28.698
EGC031,30.744,28.747
EGC033,30.793,28.437
EGC034,30.792,28.489
EGC035,30.791,28.543
EGC036,30.791,28.595
EGC037,30.793,28.647
EGC038,30.789,28.699
EGC041,30.835,28.439
EGC105,30.590,28.617
EGC112,30.631,28.565
EGC113,30.633,28.619
EGC114,30.632,28.669
EGC119,30.679,28.514
EGC120,30.678,28.566
EGC121,30.678,28.618
EGC122,30.677,28.670
EGC123,30.676,28.722
EGC127,30.724,28.514
EGC128,30.723,28.567
EGC129,30.723,28.619
EGC130,30.720,28.671
EGC131,30.721,28.723
EGC132,30.721,28.776
EGC133,30.770,28.411
EGC134,30.770,28.463
EGC135,30.770,28.518
EGC136,30.768,28.568
EGC137,30.768,28.619
EGC138,30.767,28.672
EGC139,30.765,28.727
EGC140,30.766,28.776
EGC141,30.815,28.411
EGC142,30.815,28.464
EGC143,30.815,28.516
EGC144,30.813,28.568
EGC145,30.812,28.620
EGE002,30.515,28.902
EGE003,30.513,28.952
EGE004,30.515,29.004
EGE005,30.514,29.061
EGE006,30.513,29.110
EGE007,30.512,29.161
EGE009,30.562,28.851
EGE010,30.561,28.903
EGE011,30.560,28.955
EGE012,30.559,29.007
EGE013,30.559,29.059
EGE014,30.558,29.111
EGE015,30.556,29.163
EGE017,30.607,28.852
EGE018,30.606,28.904
EGE019,30.605,28.956
EGE020,30.603,29.006
EGE021,30.604,29.060
EGE022,30.603,29.112
EGE023,30.602,29.164
EGE024,30.598,29.215
EGE026,30.652,28.905
EGE027,30.650,28.957
EGE028,30.650,29.009
EGE029,30.647,29.062
EGE032,30.646,29.218
EGE034,30.696,28.905
EGE035,30.696,28.958
EGE036,30.694,29.009
EGE101,30.541,28.826
EGE103,30.540,28.929
EGE104,30.537,28.981
EGE105,30.535,29.034
EGE106,30.535,29.084
EGE107,30.535,29.137
EGE108,30.532,29.188
EGE109,30.585,28.824
EGE110,30.584,28.877
EGE111,30.581,28.930
EGE112,30.582,28.981
EGE113,30.581,29.033
EGE114,30.582,29.085
EGE115,30.579,29.139
EGE116,30.579,29.190
EGE118,30.629,28.878
EGE119,30.628,28.930
EGE120,30.627,28.983
EGE121,30.627,29.035
EGE122,30.626,29.087
EGE123,30.625,29.139
EGE124,30.623,29.190
EGE126,30.674,28.879
EGE127,30.673,28.931
EGE128,30.673,28.983
EGE132,30.669,29.192
ENJ002,33.058,-4.684
ENJ003,33.056,-4.653
ENJ004,33.054,-4.624
ENJ009,33.082,-4.715
ENJ010,33.083,-4.686
ENJ011,33.081,-4.655
ENJ012,33.083,-4.622
ENJ013,33.080,-4.587
ENJ014,33.083,-4.558
ENJ015,33.083,-4.525
ENJ018,33.110,-4.685
ENJ019,33.110,-4.653
ENJ020,33.111,-4.620
ENJ021,33.108,-4.587
ENJ022,33.108,-4.554
ENJ023,33.110,-4.525
ENJ025,33.137,-4.685
ENJ026,33.138,-4.651
ENJ027,33.137,-4.621
ENJ028,33.137,-4.589
ENJ029,33.137,-4.556
ENJ032,33.164,-4.653
ENJ033,33.164,-4.621
ENJ034,33.164,-4.589
ENJ035,33.164,-4.556
ENJ036,33.163,-4.525
ENJ038,33.193,-4.648
ENJ039,33.191,-4.621
ENJ040,33.190,-4.592
FAI008,29.824,-7.645
FAI010,29.818,-7.580
FAI011,29.820,-7.550
FAI012,29.847,-7.646
FAI013,29.845,-7.609
FAI014,29.849,-7.583
FAI015,29.846,-7.550
FAI016,29.847,-7.519
FAI020,29.873,-7.550
FAI021,29.873,-7.519
FAI022,29.873,-7.488
FAI023,29.873,-7.456
FAI025,29.900,-7.614
FAI026,29.900,-7.578
FAI027,29.901,-7.549
FAI028,29.901,-7.518
FAI029,29.898,-7.485
FAI030,29.902,-7.458
FAI031,29.898,-7.425
FAI034,29.927,-7.577
FAI035,29.927,-7.552
FAI036,29.927,-7.518
FAI037,29.927,-7.487
FAI038,29.924,-7.455
FAI039,29.925,-7.425
FAI043,29.954,-7.516
FAI044,29.954,-7.486
FAI045,29.955,-7.454
FAI047,29.954,-7.391
FAI048,29.955,-7.365
FAI049,29.954,-7.331
FAI052,29.981,-7.486
FAI053,29.982,-7.453
FAI054,29.979,-7.422
FAI056,29.982,-7.363
FAI057,29.978,-7.333
FAI058,29.981,-7.302
FAI059,30.009,-7.485
FAI060,30.008,-7.454
FAI061,30.006,-7.422
FAI062,30.007,-7.392
FAI063,30.005,-7.360
FAI064,30.009,-7.332
FAI065,30.003,-7.299
FAI068,30.033,-7.394
FAI069,30.035,-7.330
FAI070,30.034,-7.299
FAI202,29.834,-7.659
FAI203,29.834,-7.628
FAI204,29.834,-7.597
FAI205,29.833,-7.566
FAI206,29.833,-7.535
FAI208,29.861,-7.627
FAI210,29.860,-7.565
FAI211,29.861,-7.535
FAI212,29.860,-7.503
FAI214,29.888,-7.627
FAI217,29.887,-7.534
FAI218,29.887,-7.503
FAI219,29.887,-7.472
FAI220,29.886,-7.440
FAI221,29.915,-7.595
FAI222,29.915,-7.564
FAI223,29.915,-7.533
FAI224,29.914,-7.502
FAI226,29.913,-7.440
FAI227,29.913,-7.409
FAI229,29.941,-7.533
FAI231,29.941,-7.471
FAI233,29.939,-7.408
FAI234,29.939,-7.380
FAI236,29.968,-7.534
FAI237,29.968,-7.501
FAI238,29.968,-7.470
FAI239,29.967,-7.439
FAI241,29.967,-7.377
FAI242,29.966,-7.346
FAI244,29.995,-7.501
FAI245,29.995,-7.470
FAI246,29.993,-7.436
FAI247,29.994,-7.408
FAI248,29.994,-7.377
FAI250,29.993,-7.315
FAI252,30.022,-7.470
FAI254,30.019,-7.408
FAI255,30.021,-7.376
FAI257,30.020,-7.314
FAI258,30.020,-7.283
FZG005,29.768,-6.618
FZG006,29.768,-6.587
FZG007,29.766,-6.556
FZG011,29.796,-6.710
FZG012,29.796,-6.679
FZG013,29.795,-6.649
FZG014,29.795,-6.618
FZG015,29.795,-6.587
FZG016,29.794,-6.556
FZG022,29.825,-6.803
FZG023,29.824,-6.772
FZG024,29.824,-6.741
FZG025,29.822,-6.711
FZG027,29.822,-6.650
FZG028,29.824,-6.614
FZG029,29.820,-6.588
FZG030,29.821,-6.555
FZG036,29.852,-6.803
FZG037,29.851,-6.771
FZG038,29.851,-6.741
FZG039,29.851,-6.709
FZG040,29.851,-6.679
FZG041,29.846,-6.649
FZG042,29.848,-6.618
FZG043,29.848,-6.582
FZG044,29.848,-6.555
FZG050,29.875,-6.769
FZG051,29.878,-6.740
FZG052,29.879,-6.707
FZG056,29.874,-6.585
FZG057,29.875,-6.553
FZG063,29.907,-6.801
FZG064,29.905,-6.770
FZG065,29.903,-6.739
FZG066,29.905,-6.708
FZG074,29.937,-6.895
FZG075,29.934,-6.862
FZG076,29.936,-6.832
FZG077,29.930,-6.801
FZG078,29.933,-6.772
FZG079,29.934,-6.737
FZG084,29.962,-6.893
FZG085,29.959,-6.862
FZG086,29.961,-6.833
FZG087,29.960,-6.800
FZG088,29.960,-6.769
FZG092,29.991,-6.894
FZG093,29.986,-6.863
FZG094,29.985,-6.828
FZG095,29.987,-6.799
FZG096,30.015,-6.893
FZG097,30.014,-6.862
FZG098,30.014,-6.828
FZG100,30.041,-6.863
