Refernce_Point_Name,Refernce_Point_Latitude,Refernce_Point_Longitude
MAT064,33.487,-2.504
MAT065,33.486,-2.473
MAT066,33.510,-2.822
MAT067,33.514,-2.792
MAT068,33.512,-2.760
MAT069,33.514,-2.730
MAT071,33.514,-2.665
MAT072,33.513,-2.632
MAT073,33.514,-2.600
MAT074,33.512,-2.571
MAT075,33.514,-2.537
MAT076,33.514,-2.505
MAT077,33.514,-2.475
MAT087,33.539,-2.855
MAT088,33.540,-2.823
MAT089,33.544,-2.793
MAT091,33.542,-2.731
MAT092,33.540,-2.698
MAT093,33.540,-2.666
MAT094,33.540,-2.634
MAT095,33.540,-2.602
MAT096,33.539,-2.571
MAT097,33.540,-2.538
MAT098,33.540,-2.504
MAT099,33.540,-2.474
MAT102,33.569,-2.856
MAT103,33.567,-2.823
MAT104,33.572,-2.794
MAT108,33.569,-2.668
MAT109,33.566,-2.632
MAT110,33.568,-2.601
MAT111,33.566,-2.571
MAT112,33.568,-2.537
MAT113,33.569,-2.503
MAT114,33.568,-2.474
MAT120,33.596,-2.853
MAT121,33.595,-2.821
MAT122,33.593,-2.792
MAT124,33.594,-2.730
MAT125,33.594,-2.698
MAT126,33.594,-2.666
MAT127,33.594,-2.633
MAT128,33.594,-2.602
MAT129,33.593,-2.571
MAT130,33.594,-2.538
MAT131,33.594,-2.504
MAT132,33.594,-2.474
MAT133,33.595,-2.440
MAT134,33.594,-2.409
MAT135,33.595,-2.376
MAT137,33.621,-2.824
MAT138,33.621,-2.791
MAT141,33.623,-2.700
MAT142,33.622,-2.662
MAT143,33.622,-2.634
MAT144,33.623,-2.601
MAT145,33.620,-2.571
MAT146,33.622,-2.536
MAT147,33.622,-2.502
MAT148,33.622,-2.473
MAT149,33.622,-2.440
MAT150,33.622,-2.410
MAT151,33.621,-2.375
MAT152,33.648,-2.858
MAT155,33.647,-2.760
MAT156,33.648,-2.730
MAT157,33.648,-2.699
MAT158,33.648,-2.666
MAT159,33.649,-2.634
MAT160,33.648,-2.602
MAT162,33.645,-2.536
MAT163,33.648,-2.504
MAT164,33.648,-2.474
MAT165,33.649,-2.439
MAT166,33.648,-2.409
MAT167,33.648,-2.373
MAT170,33.675,-2.855
MAT171,33.676,-2.824
MAT172,33.675,-2.789
MAT173,33.674,-2.760
MAT174,33.675,-2.730
MAT175,33.676,-2.698
MAT176,33.675,-2.666
MAT177,33.675,-2.632
MAT178,33.677,-2.601
MAT180,33.675,-2.538
MAT181,33.678,-2.504
MAT182,33.675,-2.473
MAT183,33.676,-2.440
MAT184,33.675,-2.409
MAT185,33.675,-2.374
MAT186,33.703,-2.857
MAT187,33.703,-2.824
MAT188,33.702,-2.792
MAT189,33.701,-2.760
MAT190,33.702,-2.730
MAT191,33.703,-2.698
MAT192,33.702,-2.666
MAT193,33.703,-2.632
MAT194,33.702,-2.602
MAT195,33.701,-2.571
MAT196,33.702,-2.538
MAT197,33.703,-2.504
MAT198,33.702,-2.474
MAT199,33.701,-2.438
MAT200,33.702,-2.409
MAT201,33.702,-2.374
MAT202,33.702,-2.345
MAT204,33.702,-2.281
MAT205,33.730,-2.822
MAT206,33.730,-2.794
MAT207,33.728,-2.760
MAT209,33.729,-2.698
MAT210,33.729,-2.665
MAT211,33.730,-2.632
MAT212,33.729,-2.601
MAT214,33.729,-2.537
MAT215,33.731,-2.505
MAT217,33.729,-2.475
MAT219,33.730,-2.440
MAT220,33.729,-2.409
MAT221,33.730,-2.374
MAT222,33.729,-2.344
MAT223,33.730,-2.314
MAT226,33.675,-2.345
MAT229,33.756,-2.794
MAT230,33.754,-2.762
MAT231,33.756,-2.730
MAT232,33.759,-2.698
MAT233,33.756,-2.666
MAT234,33.757,-2.632
MAT235,33.756,-2.602
MAT237,33.756,-2.538
MAT238,33.757,-2.502
MAT239,33.756,-2.474
MAT240,33.757,-2.440
MAT241,33.756,-2.409
MAT242,33.757,-2.376
MAT243,33.756,-2.345
MAT244,33.757,-2.313
MAT245,33.756,-2.281
MAT247,33.756,-2.217
MAT248,33.784,-2.696
MAT249,33.783,-2.666
MAT250,33.784,-2.632
MAT251,33.783,-2.600
MAT252,33.782,-2.571
MAT253,33.783,-2.538
MAT254,33.784,-2.502
MAT255,33.783,-2.473
MAT256,33.784,-2.440
MAT257,33.783,-2.410
MAT258,33.785,-2.375
MAT259,33.783,-2.344
MAT260,33.784,-2.313
MAT261,33.784,-2.281
MAT262,33.784,-2.248
MAT263,33.783,-2.217
MAT267,33.810,-2.666
MAT268,33.811,-2.632
MAT269,33.810,-2.602
MAT270,33.809,-2.571
MAT271,33.810,-2.538
MAT272,33.811,-2.503
MAT273,33.810,-2.473
MAT274,33.811,-2.440
MAT275,33.810,-2.409
MAT276,33.811,-2.375
MAT277,33.810,-2.345
MAT278,33.811,-2.312
MAT279,33.810,-2.281
MAT280,33.811,-2.248
MAT281,33.810,-2.217
MAT282,33.837,-2.538
MAT283,33.838,-2.504
MAT284,33.837,-2.475
MAT285,33.838,-2.440
MAT286,33.837,-2.410
MAT288,33.837,-2.345
MAT289,33.837,-2.313
MAT290,33.837,-2.281
MAT291,33.838,-2.248
MAT294,33.864,-2.473
MAT295,33.865,-2.440
MAT296,33.864,-2.409
MAT297,33.866,-2.373
MAT298,33.864,-2.345
MAT299,33.865,-2.313
MAT300,33.865,-2.280
MAT301,33.865,-2.248
MAT302,33.892,-2.440
MAT303,33.891,-2.410
MAT305,33.891,-2.344
MAT306,33.892,-2.312
MAT307,33.892,-2.281
MAT308,33.892,-2.246
MAT318,33.918,-2.409
MAT319,33.919,-2.377
MAT320,33.918,-2.345
MAT321,33.919,-2.313
MAT322,33.918,-2.281
MAT323,33.945,-2.377
MAT324,33.945,-2.344
MAT325,33.946,-2.312
MAT326,33.945,-2.280
MAT340,33.972,-2.345
MAT341,33.973,-2.312
MAT342,33.972,-2.281
MEN015,32.295,-2.296
MEN016,32.296,-2.269
MEN017,32.295,-2.235
MEN018,32.296,-2.207
MEN020,32.295,-2.140
MEN021,32.289,-2.109
MEN022,32.294,-2.076
MEN023,32.323,-2.267
MEN024,32.322,-2.235
MEN025,32.321,-2.203
MEN026,32.322,-2.171
MEN027,32.322,-2.139
MEN028,32.322,-2.108
MEN029,32.321,-2.076
MEN030,32.321,-2.044
MEN031,32.350,-2.235
MEN032,32.349,-2.203
MEN033,32.349,-2.171
MEN034,32.349,-2.139
MEN035,32.349,-2.107
MEN036,32.349,-2.076
MEN037,32.348,-2.044
MEN039,32.376,-2.171
MEN040,32.376,-2.139
MEN041,32.376,-2.107
MEN042,32.376,-2.075
MEN044,32.403,-2.139
MEN045,32.403,-2.107
MEN047,32.430,-2.107
MEN212,32.282,-2.251
MEN213,32.283,-2.215
MEN214,32.282,-2.189
MEN215,32.281,-2.156
MEN216,32.281,-2.124
MEN217,32.281,-2.092
MEN219,32.309,-2.251
MEN221,32.308,-2.188
MEN222,32.308,-2.156
MEN224,32.307,-2.089
MEN225,32.302,-2.066
MEN226,32.336,-2.251
MEN227,32.336,-2.219
MEN228,32.338,-2.185
MEN229,32.336,-2.155
MEN230,32.335,-2.123
MEN231,32.335,-2.092
MEN232,32.338,-2.060
MEN233,32.363,-2.187
MEN234,32.363,-2.155
MEN235,32.362,-2.123
MEN236,32.362,-2.091
MEN238,32.390,-2.155
MEN239,32.389,-2.123
MEN240,32.389,-2.091
MEN241,32.416,-2.123
MEN242,32.416,-2.091
MOU002,32.856,-3.947
MOU003,32.857,-3.917
MOU004,32.855,-3.887
MOU013,32.883,-3.951
MOU014,32.882,-3.914
MOU015,32.884,-3.886
MOU016,32.886,-3.855
MOU017,32.883,-3.819
MOU018,32.885,-3.789
MOU024,32.910,-3.951
MOU025,32.910,-3.918
MOU026,32.910,-3.886
MOU027,32.911,-3.853
MOU028,32.911,-3.822
MOU029,32.911,-3.790
MOU030,32.909,-3.759
MOU031,32.911,-3.727
MOU035,32.937,-3.951
MOU036,32.938,-3.918
MOU037,32.936,-3.885
MOU038,32.936,-3.856
MOU039,32.937,-3.824
MOU041,32.937,-3.758
MOU042,32.939,-3.726
MOU043,32.939,-3.694
MOU044,32.939,-3.662
MOU046,32.964,-3.951
MOU047,32.965,-3.919
MOU048,32.965,-3.887
MOU049,32.964,-3.854
MOU050,32.966,-3.822
MOU051,32.967,-3.790
MOU052,32.966,-3.758
MOU053,32.966,-3.726
MOU054,32.968,-3.692
MOU055,32.966,-3.662
MOU057,32.991,-3.951
MOU058,32.991,-3.919
MOU059,32.992,-3.885
MOU060,32.992,-3.856
MOU061,32.992,-3.824
MOU062,32.992,-3.790
MOU063,32.992,-3.758
MOU064,32.993,-3.727
MOU065,32.994,-3.692
MOU066,32.993,-3.663
MOU067,33.016,-3.822
MOU068,33.020,-3.791
MOU069,33.020,-3.759
MOU070,33.019,-3.727
MOU071,33.020,-3.695
MOU072,33.019,-3.665
MOU073,33.050,-3.823
MOU074,33.047,-3.791
MOU075,33.047,-3.760
MOU076,33.048,-3.727
MOU077,33.048,-3.695
MOU078,33.047,-3.663
MOU079,33.074,-3.824
MOU080,33.074,-3.788
MOU081,33.074,-3.759
MOU082,33.074,-3.730
MOU083,33.074,-3.694
MOU084,33.075,-3.663
MOU085,33.101,-3.824
MOU086,33.102,-3.790
MOU087,33.101,-3.760
MOU088,33.102,-3.730
MOU090,33.102,-3.664
MOU091,33.127,-3.760
MOU092,33.128,-3.727
MOU093,33.128,-3.696
MOU094,33.128,-3.664
MOU095,33.156,-3.760
MOU096,33.154,-3.728
MOU097,33.155,-3.697
MOU098,33.156,-3.664
MOU101,32.747,-4.013
MOU103,32.775,-4.013
MOU104,32.775,-3.982
MOU105,32.775,-3.949
MOU106,32.777,-3.916
MOU109,32.801,-4.011
MOU110,32.801,-3.984
MOU111,32.802,-3.949
MOU112,32.802,-3.917
MOU115,32.829,-4.016
MOU117,32.831,-3.951
MOU118,32.829,-3.917
MOU119,32.830,-3.885
MOU122,32.855,-4.014
MOU123,32.856,-3.982
MOU125,32.857,-3.821
MOU126,32.885,-4.014
MOU127,32.883,-3.982
MOU129,32.910,-3.982
MOU503,32.760,-4.029
MOU504,32.761,-3.998
MOU508,32.788,-4.029
MOU509,32.788,-3.997
MOU510,32.787,-3.966
MOU511,32.789,-3.933
MOU512,32.789,-3.900
MOU513,32.815,-4.030
MOU514,32.815,-3.997
MOU515,32.816,-3.965
MOU516,32.816,-3.933
MOU519,32.842,-4.030
MOU520,32.841,-3.998
MOU521,32.845,-3.967
MOU522,32.840,-3.934
MOU524,32.843,-3.870
MOU527,32.869,-4.027
MOU528,32.870,-3.998
MOU529,32.870,-3.966
MOU530,32.870,-3.934
MOU531,32.870,-3.902
MOU532,32.870,-3.870
MOU534,32.871,-3.806
MOU537,32.897,-3.998
MOU538,32.897,-3.966
MOU539,32.898,-3.932
MOU540,32.897,-3.902
MOU541,32.897,-3.870
MOU542,32.897,-3.839
MOU543,32.898,-3.806
MOU544,32.898,-3.774
MOU548,32.922,-3.967
MOU550,32.925,-3.905
MOU551,32.925,-3.871
MOU552,32.924,-3.838
MOU553,32.925,-3.807
MOU555,32.926,-3.744
MOU556,32.927,-3.708
MOU560,32.950,-3.937
MOU561,32.951,-3.902
MOU562,32.951,-3.867
MOU563,32.952,-3.839
MOU564,32.953,-3.808
MOU565,32.953,-3.772
MOU566,32.953,-3.741
MOU567,32.954,-3.710
MOU568,32.953,-3.675
MOU570,32.976,-3.962
MOU571,32.977,-3.937
MOU572,32.978,-3.903
MOU573,32.979,-3.871
MOU574,32.978,-3.839
MOU575,32.981,-3.806
MOU576,32.979,-3.775
MOU577,32.980,-3.742
MOU578,32.980,-3.709
MOU579,32.980,-3.678
MOU582,33.005,-3.935
MOU583,33.006,-3.906
MOU584,33.006,-3.871
MOU585,33.006,-3.839
MOU586,33.005,-3.807
MOU587,33.006,-3.775
MOU588,33.006,-3.743
MOU589,33.007,-3.711
MOU590,33.007,-3.679
MOU592,33.032,-3.838
MOU593,33.032,-3.808
MOU594,33.033,-3.775
MOU595,33.034,-3.743
MOU596,33.034,-3.711
MOU597,33.034,-3.679
MOU599,33.060,-3.840
MOU600,33.059,-3.807
MOU601,33.061,-3.775
MOU602,33.061,-3.743
MOU603,33.060,-3.709
MOU604,33.061,-3.679
MOU606,33.087,-3.840
MOU607,33.087,-3.808
MOU608,33.087,-3.776
MOU609,33.088,-3.743
MOU610,33.089,-3.713
MOU611,33.088,-3.679
MOU614,33.113,-3.806
MOU615,33.115,-3.776
MOU616,33.113,-3.745
MOU617,33.114,-3.712
MOU618,33.116,-3.677
MOU620,33.142,-3.776
MOU621,33.142,-3.744
MOU622,33.143,-3.715
MOU623,33.143,-3.679
MOU626,33.169,-3.744
MOU627,33.169,-3.712
MOU628,33.169,-3.680
OUI005,32.774,-4.047
OUI006,32.775,-4.013
OUI007,32.775,-3.982
OUI008,32.775,-3.945
OUI009,32.775,-3.916
OUI010,32.774,-3.885
OUI011,32.802,-4.045
OUI012,32.802,-4.011
OUI013,32.801,-3.976
OUI014,32.802,-3.949
OUI015,32.800,-3.917
OUI016,32.802,-3.883
OUI017,32.801,-3.851
OUI019,32.828,-4.014
OUI020,32.833,-3.979
OUI021,32.829,-3.946
OUI022,32.828,-3.918
OUI023,32.829,-3.886
OUI027,32.855,-4.014
OUI028,32.855,-3.978
OUI029,32.855,-3.946
OUI030,32.855,-3.917
OUI031,32.854,-3.881
OUI032,32.860,-3.846
OUI033,32.855,-3.817
OUI034,32.857,-3.786
OUI035,32.885,-4.014
OUI036,32.883,-3.980
OUI037,32.883,-3.947
OUI038,32.885,-3.914
OUI039,32.883,-3.883
OUI040,32.881,-3.850
OUI041,32.882,-3.818
OUI042,32.908,-4.010
OUI043,32.910,-3.982
OUI044,32.909,-3.947
OUI045,32.910,-3.918
OUI046,32.910,-3.886
OUI047,32.910,-3.852
OUI048,32.934,-4.011
OUI049,32.936,-3.977
OUI050,32.937,-3.946
OUI051,32.937,-3.914
OUI054,32.964,-3.949
OUI055,32.962,-3.917
OUI057,32.991,-3.947
SGH002,29.651,-8.170
SGH004,29.624,-8.171
SGH005,29.624,-8.202
SGH006,29.624,-8.294
SGH007,29.597,-8.141
SGH008,29.597,-8.171
SGH009,29.597,-8.202
SGH010,29.597,-8.234
SGH011,29.598,-8.295
SGH012,29.600,-8.326
SGH013,29.570,-8.142
SGH014,29.570,-8.171
SGH015,29.571,-8.202
SGH017,29.570,-8.263
SGH018,29.570,-8.296
SGH019,29.570,-8.324
SGH020,29.542,-8.110
SGH021,29.542,-8.140
SGH022,29.543,-8.171
SGH023,29.544,-8.201
SGH025,29.542,-8.263
SGH026,29.545,-8.296
SGH027,29.544,-8.325
SGH029,29.516,-8.142
SGH030,29.517,-8.172
SGH031,29.515,-8.202
SGH033,29.516,-8.265
SGH035,29.516,-8.326
SGH037,29.490,-8.233
SGH038,29.489,-8.266
SGH040,29.489,-8.327
SGH043,29.462,-8.327
SGH046,29.434,-8.328
SGH049,29.408,-8.358
TAM001,32.270,-2.458
TAM002,32.270,-2.427
TAM005,32.296,-2.426
TAM006,32.297,-2.396
TAM007,32.296,-2.363
TAM010,32.324,-2.586
TAM011,32.324,-2.554
TAM012,32.327,-2.524
TAM013,32.322,-2.488
TAM014,32.324,-2.458
TAM015,32.324,-2.425
TAM016,32.324,-2.395
TAM017,32.323,-2.363
TAM018,32.323,-2.331
TAM019,32.323,-2.299
TAM024,32.351,-2.586
TAM025,32.351,-2.554
TAM026,32.351,-2.522
TAM027,32.351,-2.490
TAM029,32.352,-2.430
TAM031,32.350,-2.363
TAM032,32.348,-2.329
TAM033,32.348,-2.297
TAM034,32.350,-2.267
TAM035,32.378,-2.713
TAM036,32.378,-2.681
TAM037,32.378,-2.649
TAM038,32.378,-2.617
TAM039,32.378,-2.585
TAM040,32.378,-2.554
TAM041,32.378,-2.522
TAM042,32.383,-2.491
TAM044,32.378,-2.426
TAM046,32.377,-2.362
TAM047,32.377,-2.331
TAM048,32.377,-2.298
TAM049,32.377,-2.266
TAM050,32.376,-2.234
TAM052,32.406,-2.713
TAM053,32.407,-2.680
TAM054,32.404,-2.647
TAM055,32.405,-2.617
TAM056,32.405,-2.585
TAM057,32.402,-2.560
TAM058,32.406,-2.523
TAM059,32.404,-2.488
TAM060,32.405,-2.456
TAM062,32.407,-2.394
TAM063,32.404,-2.362
TAM064,32.404,-2.332
TAM065,32.406,-2.295
TAM066,32.404,-2.266
TAM067,32.404,-2.234
TAM068,32.403,-2.202
TAM070,32.433,-2.745
TAM071,32.433,-2.713
TAM072,32.433,-2.681
TAM073,32.432,-2.649
TAM074,32.433,-2.617
TAM075,32.432,-2.585
TAM076,32.432,-2.553
TAM077,32.432,-2.521
TAM078,32.432,-2.489
TAM079,32.431,-2.457
TAM080,32.432,-2.426
TAM081,32.432,-2.394
TAM082,32.431,-2.362
TAM083,32.431,-2.328
TAM084,32.431,-2.297
TAM085,32.431,-2.266
TAM086,32.431,-2.234
TAM087,32.430,-2.203
TAM088,32.430,-2.170
TAM089,32.430,-2.139
TAM090,32.460,-2.745
TAM091,32.460,-2.713
TAM092,32.460,-2.681
TAM093,32.460,-2.649
TAM094,32.459,-2.616
TAM095,32.459,-2.586
TAM096,32.459,-2.553
TAM097,32.459,-2.521
TAM098,32.459,-2.490
TAM099,32.459,-2.456
TAM100,32.459,-2.425
TAM101,32.459,-2.394
TAM102,32.458,-2.362
TAM103,32.458,-2.330
TAM104,32.458,-2.298
TAM105,32.458,-2.266
TAM106,32.457,-2.236
TAM107,32.458,-2.201
TAM108,32.457,-2.170
TAM109,32.457,-2.138
TAM110,32.457,-2.106
TAM111,32.488,-2.749
TAM112,32.487,-2.713
TAM113,32.489,-2.681
TAM114,32.487,-2.649
TAM115,32.487,-2.617
TAM116,32.486,-2.585
TAM117,32.486,-2.553
TAM118,32.486,-2.521
TAM119,32.486,-2.488
TAM120,32.486,-2.457
TAM121,32.486,-2.425
TAM122,32.486,-2.393
TAM123,32.485,-2.361
TAM124,32.485,-2.330
TAM125,32.484,-2.294
TAM126,32.485,-2.266
TAM127,32.482,-2.233
TAM128,32.485,-2.200
TAM129,32.484,-2.172
TAM130,32.484,-2.138
TAM131,32.484,-2.106
TAM132,32.482,-2.075
TAM134,32.514,-2.713
TAM135,32.513,-2.682
TAM136,32.514,-2.649
TAM137,32.513,-2.617
TAM138,32.514,-2.585
TAM139,32.513,-2.553
TAM140,32.513,-2.521
TAM141,32.513,-2.489
TAM142,32.513,-2.457
TAM143,32.512,-2.425
TAM144,32.512,-2.394
TAM145,32.513,-2.361
TAM146,32.512,-2.329
TAM147,32.511,-2.299
TAM148,32.512,-2.265
TAM149,32.512,-2.234
TAM150,32.514,-2.202
TAM151,32.511,-2.169
TAM152,32.511,-2.138
TAM153,32.509,-2.105
TAM154,32.511,-2.074
TAM155,32.511,-2.042
TAM156,32.540,-2.740
TAM157,32.532,-2.715
TAM158,32.541,-2.680
TAM159,32.540,-2.648
TAM160,32.541,-2.616
TAM161,32.541,-2.585
TAM162,32.540,-2.554
TAM163,32.542,-2.522
TAM164,32.540,-2.489
TAM165,32.541,-2.457
TAM166,32.540,-2.425
TAM167,32.540,-2.393
TAM168,32.540,-2.361
TAM169,32.540,-2.328
TAM170,32.539,-2.296
TAM171,32.539,-2.266
TAM172,32.539,-2.235
TAM173,32.539,-2.201
TAM174,32.537,-2.168
TAM175,32.538,-2.137
TAM176,32.539,-2.106
TAM177,32.537,-2.073
TAM178,32.537,-2.040
TAM179,32.538,-2.009
TAM193,32.566,-2.329
TAM194,32.566,-2.297
TAM195,32.566,-2.264
TAM196,32.567,-2.234
TAM197,32.566,-2.201
TAM198,32.566,-2.169
TAM199,32.566,-2.136
TAM200,32.566,-2.106
TAM211,32.594,-2.232
TAM212,32.592,-2.200
TAM508,32.310,-2.379
TAM509,32.310,-2.345
TAM514,32.336,-2.315
TAM515,32.336,-2.283
TAM524,32.388,-2.247
TAM525,32.390,-2.218
TAM526,32.419,-2.697
TAM527,32.419,-2.665
TAM528,32.419,-2.633
TAM529,32.419,-2.601
TAM538,32.417,-2.250
TAM539,32.417,-2.218
TAM540,32.417,-2.186
TAM543,32.446,-2.729
TAM544,32.446,-2.697
TAM545,32.446,-2.665
TAM546,32.446,-2.633
TAM547,32.446,-2.601
TAM548,32.446,-2.569
TAM549,32.446,-2.537
TAM550,32.446,-2.505
TAM551,32.445,-2.473
TAM552,32.446,-2.441
TAM553,32.445,-2.410
TAM554,32.445,-2.378
TAM555,32.445,-2.346
TAM556,32.448,-2.309
TAM557,32.445,-2.282
TAM558,32.444,-2.250
TAM559,32.444,-2.218
TAM560,32.444,-2.186
TAM561,32.444,-2.154
TAM564,32.473,-2.729
TAM565,32.473,-2.697
TAM567,32.473,-2.633
TAM568,32.473,-2.601
TAM569,32.473,-2.569
TAM570,32.473,-2.537
TAM571,32.473,-2.505
TAM572,32.472,-2.441
TAM573,32.472,-2.409
TAM574,32.472,-2.377
TAM575,32.472,-2.346
TAM576,32.472,-2.314
TAM577,32.472,-2.282
TAM578,32.471,-2.250
TAM579,32.471,-2.218
TAM580,32.471,-2.186
TAM581,32.471,-2.154
TAM584,32.500,-2.697
TAM585,32.500,-2.665
TAM586,32.500,-2.633
TAM587,32.500,-2.601
TAM588,32.500,-2.569
TAM589,32.500,-2.537
TAM590,32.500,-2.505
TAM594,32.499,-2.377
TAM595,32.499,-2.345
TAM596,32.499,-2.313
TAM597,32.499,-2.281
TAM598,32.498,-2.250
TAM599,32.498,-2.218
TAM600,32.497,-2.183
TAM601,32.498,-2.154
TAM607,32.527,-2.569
TAM608,32.525,-2.538
TAM609,32.527,-2.505
TAM610,32.527,-2.473
TAM611,32.527,-2.441
TAM612,32.526,-2.409
TAM613,32.526,-2.377
TAM614,32.527,-2.346
TAM623,32.553,-2.345
TAM624,32.553,-2.313
TAM625,32.553,-2.280
TAM626,32.553,-2.249
TEG005,33.012,-3.647
TEG006,33.013,-3.617
TEG009,33.039,-3.777
TEG010,33.040,-3.743
TEG011,33.040,-3.712
TEG012,33.042,-3.679
TEG013,33.040,-3.646
TEG014,33.037,-3.615
TEG017,33.065,-3.780
TEG018,33.067,-3.744
TEG019,33.067,-3.713
TEG020,33.067,-3.679
TEG025,33.092,-3.778
TEG026,33.094,-3.745
TEG033,33.120,-3.776
TEG034,33.120,-3.745
TEG035,33.120,-3.712
TEG036,33.121,-3.679
TEG037,33.122,-3.646
TEG038,33.120,-3.616
TEG039,33.120,-3.583
TEG041,33.147,-3.804
TEG042,33.148,-3.772
TEG043,33.148,-3.746
TEG044,33.147,-3.711
TEG045,33.147,-3.681
TEG046,33.148,-3.647
TEG047,33.148,-3.615
TEG048,33.147,-3.580
TEG050,33.174,-3.840
TEG051,33.174,-3.804
TEG052,33.175,-3.776
TEG053,33.174,-3.744
TEG054,33.177,-3.708
TEG055,33.173,-3.684
TEG056,33.178,-3.648
TEG060,33.202,-3.803
TEG061,33.202,-3.777
TEG062,33.202,-3.745
TEG063,33.200,-3.711
TEG064,33.202,-3.681
TEG065,33.197,-3.645
TEG069,33.229,-3.775
TEG070,33.230,-3.743
TEG071,33.229,-3.712
TEG072,33.229,-3.680
TEG073,33.231,-3.644
TEG077,33.254,-3.744
TEG078,33.256,-3.711
TEG079,33.252,-3.677
TEG084,33.282,-3.714
TIN001,33.509,-3.129
TIN003,33.536,-3.131
TIN004,33.534,-3.100
TIN005,33.563,-3.131
TIN006,33.567,-3.097
TIN007,33.590,-3.131
TIN008,33.590,-3.099
TIN009,33.591,-3.067
TIN010,33.590,-3.036
TIN014,33.617,-3.063
TIN015,33.617,-3.035
TIN018,33.644,-3.099
TIN019,33.644,-3.067
TIN020,33.644,-3.035
TIN022,33.673,-3.130
TIN023,33.669,-3.098
TIN024,33.671,-3.067
TIN025,33.671,-3.036
TIN026,33.671,-3.001
TIN028,33.699,-3.129
TIN029,33.698,-3.099
TIN030,33.698,-3.067
TIN031,33.698,-3.035
TIN032,33.697,-3.003
TIN034,33.725,-3.128
TIN035,33.725,-3.098
TIN037,33.726,-3.034
TIN038,33.724,-3.003
TIN041,33.752,-3.099
TIN043,33.752,-3.035
ZAI002,32.838,-4.744
ZAI003,32.841,-4.711
ZAI006,32.860,-4.870
ZAI007,32.866,-4.838
ZAI008,32.867,-4.809
ZAI009,32.863,-4.779
ZAI010,32.867,-4.744
ZAI011,32.865,-4.711
ZAI012,32.889,-4.905
ZAI013,32.892,-4.872
ZAI014,32.891,-4.842
ZAI015,32.893,-4.807
ZAI016,32.889,-4.775
ZAI017,32.892,-4.746
ZAI018,32.895,-4.715
ZAI019,32.894,-4.684
ZAI020,32.915,-4.907
ZAI021,32.915,-4.877
ZAI022,32.916,-4.840
ZAI023,32.920,-4.809
ZAI024,32.919,-4.779
ZAI025,32.920,-4.748
ZAI026,32.920,-4.715
ZAI027,32.944,-4.906
ZAI028,32.944,-4.874
ZAI029,32.945,-4.842
ENJ03,33.056,-4.653
ENJ04,33.054,-4.624
ENJ09,33.082,-4.715
ENJ10,33.083,-4.686
ENJ11,33.081,-4.655
ENJ12,33.083,-4.622
ENJ14,33.083,-4.558
ENJ15,33.083,-4.525
ENJ18,33.110,-4.685
ENJ19,33.110,-4.653
ENJ20,33.111,-4.620
ENJ22,33.108,-4.554
ENJ23,33.110,-4.525
ENJ26,33.138,-4.651
ENJ27,33.137,-4.621
ENJ29,33.137,-4.556
ENJ33,33.164,-4.621
ENJ34,33.164,-4.589
ENJ35,33.164,-4.556
ENJ36,33.163,-4.525
ENJ39,33.191,-4.621
ENJ40,33.190,-4.592
P01-C,33.286,-3.825
P01-D,33.135,-3.954
P02-1,33.100,-3.968
P02-2,33.110,-3.988
P02-3,33.120,-4.008
P02-4,33.133,-4.024
P02-5,33.146,-4.041
P02-6,33.149,-4.063
P02-7,33.146,-4.081
P02-C,33.295,-3.841
P02-D,33.157,-3.922
P03-1,33.115,-3.961
P03-1B,33.158,-4.020
P03-2,33.131,-3.977
P03-2B,33.168,-4.044
P03-3,33.145,-3.994
P03-3B,33.176,-4.058
P03-4,33.160,-4.007
P03-4B,33.180,-4.076
P03-5,33.176,-4.021
P03-5B,33.163,-4.082
P03-C,33.265,-3.882
P03-D,33.193,-3.994
P04-1,33.136,-3.921
P04-2,33.145,-3.936
P04-3,33.156,-3.955
P04-4,33.166,-3.973
P04-5,33.176,-3.991
P04-6,33.184,-4.004
P04-7,33.196,-4.020
P04-8,33.202,-4.033
P04-9,33.219,-4.062
P04-C,33.221,-3.950
P04-D,33.194,-3.962
P05-1,33.167,-3.891
P05-2,33.170,-3.912
P05-3,33.172,-3.937
P05-4,33.176,-3.959
P05-4B,33.174,-3.949
P05-5,33.181,-3.979
P05-6,33.180,-4.015
P05-7,33.181,-4.030
P05-7B,33.181,-4.030
P05-8,33.203,-4.046
P05-C,33.232,-3.965
P05-D,33.233,-3.891
P06-1,33.196,-3.876
P06-2,33.198,-3.898
P06-3,33.202,-3.919
P06-4,33.206,-3.941
P06-5,33.209,-3.964
P06-6,33.221,-3.985
P06-7,33.230,-4.005
P06-8,33.242,-4.022
P06-8B,33.232,-4.029
P06-9,33.236,-4.032
P06C,33.245,-3.992
P06-D,33.330,-3.834
P07-1,33.196,-3.876
P07-2,33.210,-3.890
P07-3,33.217,-3.912
P07-4,33.223,-3.932
P07-5,33.235,-3.948
P07-6,33.246,-3.965
P07-7,33.255,-3.993
P07-8,33.269,-3.999
P07-9,33.269,-4.019
P07C,33.196,-4.064
P07D,33.269,-3.884
P08-1,33.204,-3.864
P08-2,33.216,-3.883
P08-3,33.226,-3.901
P08-4,33.234,-3.917
P08-5,33.243,-3.936
P08-6,33.255,-3.958
P08-7,33.270,-3.971
P08-C,33.207,-3.982
P08-D,33.226,-3.870
P09-1,33.228,-3.835
