Reference_Observation_Point_Name,Reference_Observation_Point_Latitude,Reference_Observation_Point_Longitude,Real_Observation_Point_Name,Real_Observation_Point_Date,Real_Observation_Point_Latitude,Real_Observation_Point_Longitude,Houbara_Observation_Station_Name,Houbara_Observation_Station_Latitude,Houbara_Observation_Station_Longitude,Houbara_Number
BAT001,33.069,-4.011,BA01,5/11/2001 6:27,33.06895,-4.01065,NULL,NULL,NULL,NULL
BAT002,33.096,-4.011,BA02,5/11/2001 7:21,33.096,-4.01069,NULL,NULL,NULL,NULL
BAT003,33.096,-3.978,BA03,5/11/2001 8:12,33.09611,-3.97753,NULL,NULL,NULL,NULL
BAT006,33.123,-4.011,BA06,5/11/2001 9:13,33.12289,-4.01065,NULL,NULL,NULL,NULL
BAT005,33.123,-4.044,BA05,5/11/2001 9:57,33.12287,-4.04379,NULL,NULL,NULL,NULL
BAT004,33.124,-4.074,BA04,5/11/2001 10:57,33.12361,-4.0744,NULL,NULL,NULL,NULL
BAT010,33.149,-4.045,BA10,5/11/2001 14:50,33.14917,-4.04508,NULL,NULL,NULL,NULL
BAT009,33.151,-4.077,BA09,5/11/2001 15:40,33.15069,-4.07737,NULL,NULL,NULL,NULL
BAT015,33.175,-4.106,BA15,5/11/2001 16:36,33.17544,-4.10637,NULL,NULL,NULL,NULL
BAT008,33.123,-3.946,BA08,6/11/2001 7:05,33.12297,-3.94611,NULL,NULL,NULL,NULL
BAT007,33.123,-3.977,BA07,6/11/2001 7:22,33.12343,-3.97685,BA07A,33.13762,-3.99764,1
BAT007,33.123,-3.977,BA07,6/11/2001 7:22,33.12343,-3.97685,BA07B,33.13806,-4.00568,1
BAT011,33.150,-4.011,BA11,6/11/2001 8:52,33.15022,-4.0105,BA11A,33.152,-4.00644,1
BAT012,33.150,-3.977,BA12,6/11/2001 9:46,33.15045,-3.97739,NULL,NULL,NULL,NULL
BAT030,33.204,-3.882,BA30,7/11/2001 6:42,33.20392,-3.8817,BA30D,33.19701,-3.89104,2
BAT030,33.204,-3.882,BA30,7/11/2001 6:42,33.20392,-3.8817,BA30C,33.20101,-3.90121,1
BAT030,33.204,-3.882,BA30,7/11/2001 6:42,33.20392,-3.8817,BA30B,33.20442,-3.8875,1
BAT030,33.204,-3.882,BA30,7/11/2001 6:42,33.20392,-3.8817,BA30A,33.20957,-3.87975,1
BAT029,33.203,-3.914,BA29,7/11/2001 8:28,33.203,-3.91404,BA29A,33.21375,-3.90515,1
BAT028,33.204,-3.947,BA28,7/11/2001 9:28,33.20393,-3.9466,NULL,NULL,NULL,NULL
BAT027,33.206,-3.979,BA27,7/11/2001 15:04,33.20591,-3.97875,NULL,NULL,NULL,NULL
BAT035,33.233,-3.976,BA35,7/11/2001 15:56,33.23252,-3.97645,NULL,NULL,NULL,NULL
BAT034,33.231,-4.011,BA34,7/11/2001 17:20,33.23141,-4.01072,NULL,NULL,NULL,NULL
BAT014,33.150,-3.914,BA14,8/11/2001 6:41,33.15006,-3.91399,NULL,NULL,NULL,NULL
BAT013,33.150,-3.946,BA13,8/11/2001 7:29,33.14982,-3.94629,NULL,NULL,NULL,NULL
BAT019,33.177,-3.978,BA19,8/11/2001 8:17,33.17704,-3.97836,NULL,NULL,NULL,NULL
BAT018,33.176,-4.010,BA18,8/11/2001 9:03,33.17571,-4.01002,NULL,NULL,NULL,NULL
BAT017,33.178,-4.041,BA17,8/11/2001 9:49,33.17846,-4.0408,NULL,NULL,NULL,NULL
BAT022,33.204,-4.139,BA22,8/11/2001 15:22,33.20413,-4.13936,NULL,NULL,NULL,NULL
BAT016,33.177,-4.075,BA16,8/11/2001 16:20,33.17702,-4.07512,NULL,NULL,NULL,NULL
BAT021,33.178,-3.914,BA21,9/11/2001 6:47,33.17768,-3.91403,BA21A,33.18764,-3.90761,1
BAT020,33.176,-3.946,BA20,9/11/2001 7:54,33.17639,-3.94605,BA20A,33.18419,-3.93247,2
BAT026,33.207,-4.010,BA26,9/11/2001 9:05,33.20691,-4.01015,NULL,NULL,NULL,NULL
BAT039,33.231,-3.849,BA39,12/11/2001 6:45,33.23139,-3.84888,NULL,NULL,NULL,NULL
BAT056,33.286,-3.817,BA56,12/11/2001 6:56,33.28622,-3.81741,NULL,NULL,NULL,NULL
BAT038,33.231,-3.882,BA38,12/11/2001 7:35,33.23109,-3.88164,NULL,NULL,NULL,NULL
BAT055,33.285,-3.850,BA55,12/11/2001 7:47,33.28457,-3.85007,NULL,NULL,NULL,NULL
BAT037,33.231,-3.914,BA37,12/11/2001 8:26,33.23144,-3.91379,NULL,NULL,NULL,NULL
BAT054,33.286,-3.882,BA54,12/11/2001 8:34,33.28559,-3.8816,NULL,NULL,NULL,NULL
BAT036,33.230,-3.948,BA36,12/11/2001 9:21,33.22996,-3.94786,NULL,NULL,NULL,NULL
BAT048,33.259,-3.816,BA48,13/11/2001 06:55:00,33.25862,-3.81641,NULL,NULL,NULL,NULL
BAT036,33.230,-3.948,BA36,13/11/2001 06:57:00,33.22996,-3.94786,BA36A,33.23875,-3.96555,1
BAT036,33.230,-3.948,BA36,13/11/2001 06:57:00,33.22996,-3.94786,BA36B,33.23234,-3.94292,1
BAT047,33.258,-3.850,BA47,13/11/2001 08:01:00,33.25814,-3.85002,NULL,NULL,NULL,NULL
BAT043,33.260,-3.979,BA43,13/11/2001 08:26:00,33.25971,-3.97913,NULL,NULL,NULL,NULL
BAT046,33.258,-3.881,BA46,13/11/2001 09:01:00,33.25801,-3.88109,NULL,NULL,NULL,NULL
BAT044,33.258,-3.946,BA44,13/11/2001 10:12:00,33.25805,-3.94637,BA44A,33.25968,-3.94118,1
BAT062,33.312,-3.882,BA62,13/11/2001 10:17:00,33.31217,-3.88151,NULL,NULL,NULL,NULL
BAT045,33.258,-3.915,BA45,13/11/2001 15:12:00,33.25808,-3.91458,BA45B,33.25715,-3.90033,1
BAT045,33.258,-3.915,BA45,13/11/2001 15:12:00,33.25808,-3.91458,BA45A,33.26595,-3.92319,2
BAT069,33.339,-3.882,BA69,13/11/2001 15:13:00,33.3385,-3.88167,NULL,NULL,NULL,NULL
BAT068,33.336,-3.913,BA68,13/11/2001 15:57:00,33.33561,-3.91336,NULL,NULL,NULL,NULL
BAT053,33.286,-3.914,BA53,13/11/2001 16:16:00,33.28576,-3.91355,BA53B,33.25304,-3.9095,2
BAT053,33.286,-3.914,BA53,13/11/2001 16:16:00,33.28576,-3.91355,BA53A,33.27221,-3.91197,1
BAT067,33.345,-3.945,BA67,13/11/2001 17:18:00,33.34481,-3.94538,NULL,NULL,NULL,NULL
BAT061,33.313,-3.913,BA61,14/11/2001 06:49:00,33.3132,-3.91261,NULL,NULL,NULL,NULL
BAT072,33.338,-3.786,BA72,14/11/2001 06:59:00,33.33759,-3.78638,NULL,NULL,NULL,NULL
BAT071,33.338,-3.819,BA71,14/11/2001 07:40:00,33.3382,-3.81905,NULL,NULL,NULL,NULL
BAT060,33.313,-3.949,BA60,14/11/2001 07:52:00,33.31345,-3.94918,NULL,NULL,NULL,NULL
BAT070,33.339,-3.847,BA70,14/11/2001 08:22:00,33.33877,-3.84667,NULL,NULL,NULL,NULL
BAT059,33.312,-3.978,BA59,14/11/2001 08:57:00,33.31239,-3.97838,NULL,NULL,NULL,NULL
BAT063,33.311,-3.849,BA63,14/11/2001 09:17:00,33.31144,-3.84942,NULL,NULL,NULL,NULL
BAT064,33.312,-3.817,BA64,14/11/2001 10:06:00,33.3122,-3.81705,NULL,NULL,NULL,NULL
BAT052,33.285,-3.946,BA52,14/11/2001 14:20:00,33.28472,-3.94645,NULL,NULL,NULL,NULL
BAT051,33.285,-3.978,BA51,14/11/2001 15:13:00,33.28501,-3.97789,NULL,NULL,NULL,NULL
BAT065,33.313,-3.784,BA65,14/11/2001 15:13:00,33.3129,-3.78435,NULL,NULL,NULL,NULL
BAT025,33.203,-4.045,BA25,14/11/2001 16:32:00,33.20311,-4.04473,NULL,NULL,NULL,NULL
BAT033,33.230,-4.047,BA33,15/11/2001 08:56:00,33.23041,-4.04655,NULL,NULL,NULL,NULL
OUI057,32.991,-3.947,OU57,20/11/2001 07:03:00,32.99097,-3.94737,NULL,NULL,NULL,NULL
OUI042,32.908,-4.010,OU42,20/11/2001 07:12:00,32.90805,-4.01015,NULL,NULL,NULL,NULL
OUI055,32.962,-3.917,OU55,20/11/2001 07:55:00,32.96198,-3.91745,NULL,NULL,NULL,NULL
OUI043,32.910,-3.982,OU43,20/11/2001 07:59:00,32.91013,-3.982,NULL,NULL,NULL,NULL
OUI051,32.937,-3.914,OU51,20/11/2001 08:42:00,32.93701,-3.91425,NULL,NULL,NULL,NULL
OUI044,32.909,-3.947,OU44,20/11/2001 08:48:00,32.90899,-3.94737,NULL,NULL,NULL,NULL
OUI045,32.910,-3.918,OU45,20/11/2001 09:36:00,32.90957,-3.91805,NULL,NULL,NULL,NULL
OUI054,32.964,-3.949,OU54,20/11/2001 09:41:00,32.96404,-3.94876,NULL,NULL,NULL,NULL
OUI050,32.937,-3.946,OU50,20/11/2001 15:40:00,32.93733,-3.94648,NULL,NULL,NULL,NULL
OUI049,32.936,-3.977,OU49,20/11/2001 16:29:00,32.93635,-3.97713,NULL,NULL,NULL,NULL
OUI048,32.934,-4.011,OU48,21/11/2001 07:52:00,32.93374,-4.01059,NULL,NULL,NULL,NULL
OUI011,32.802,-4.045,OU11,21/11/2001 08:37:00,32.8015,-4.04497,NULL,NULL,NULL,NULL
OUI035,32.885,-4.014,OU35,21/11/2001 08:44:00,32.88546,-4.0144,NULL,NULL,NULL,NULL
OUI012,32.802,-4.011,OU12,21/11/2001 09:29:00,32.80174,-4.01086,NULL,NULL,NULL,NULL
OUI013,32.801,-3.976,OU13,21/11/2001 10:22:00,32.80068,-3.97622,NULL,NULL,NULL,NULL
OUI029,32.855,-3.946,OU29,21/11/2001 10:34:00,32.85528,-3.94645,NULL,NULL,NULL,NULL
OUI028,32.855,-3.978,OU28,21/11/2001 14:58:00,32.85466,-3.97763,NULL,NULL,NULL,NULL
OUI014,32.802,-3.949,OU14,21/11/2001 15:08:00,32.80195,-3.94879,NULL,NULL,NULL,NULL
OUI015,32.800,-3.917,OU15,21/11/2001 15:52:00,32.79989,-3.91744,NULL,NULL,NULL,NULL
OUI036,32.883,-3.980,OU36,21/11/2001 16:20:00,32.88303,-3.97977,NULL,NULL,NULL,NULL
OUI047,32.910,-3.852,OU47,22/11/2001 07:06:00,32.90958,-3.85239,NULL,NULL,NULL,NULL
OUI027,32.855,-4.014,OU27,22/11/2001 07:19:00,32.85528,-4.01397,NULL,NULL,NULL,NULL
OUI046,32.910,-3.886,OU46,22/11/2001 07:56:00,32.91035,-3.88622,NULL,NULL,NULL,NULL
OUI019,32.828,-4.014,OU19,22/11/2001 08:09:00,32.82826,-4.01375,NULL,NULL,NULL,NULL
OUI039,32.883,-3.883,OU39,22/11/2001 08:52:00,32.88276,-3.88287,NULL,NULL,NULL,NULL
OUI020,32.833,-3.979,OU20,22/11/2001 09:10:00,32.83257,-3.97892,NULL,NULL,NULL,NULL
OUI021,32.829,-3.946,OU21,22/11/2001 09:53:00,32.82853,-3.94556,NULL,NULL,NULL,NULL
OUI040,32.881,-3.850,OU40,22/11/2001 10:04:00,32.88062,-3.84999,NULL,NULL,NULL,NULL
OUI041,32.882,-3.818,OU41,22/11/2001 10:57:00,32.88201,-3.81831,NULL,NULL,NULL,NULL
OUI034,32.857,-3.786,OU34,22/11/2001 14:40:00,32.857,-3.78593,NULL,NULL,NULL,NULL
OUI023,32.829,-3.886,OU23,22/11/2001 15:17:00,32.82868,-3.88602,NULL,NULL,NULL,NULL
OUI033,32.855,-3.817,OU33,22/11/2001 15:41:00,32.85507,-3.81676,NULL,NULL,NULL,NULL
OUI022,32.828,-3.918,OU22,22/11/2001 16:08:00,32.82846,-3.91772,NULL,NULL,NULL,NULL
OUI032,32.860,-3.846,OU32,22/11/2001 16:32:00,32.85952,-3.84608,NULL,NULL,NULL,NULL
OUI005,32.774,-4.047,OU05,23/11/2001 06:59:00,32.77385,-4.04658,NULL,NULL,NULL,NULL
OUI037,32.883,-3.947,OU37,23/11/2001 07:07:00,32.8825,-3.94703,OU37A,32.88076,-3.94106,3
OUI006,32.775,-4.013,OU06,23/11/2001 08:01:00,32.77453,-4.01269,NULL,NULL,NULL,NULL
OUI038,32.885,-3.914,OU38,23/11/2001 08:18:00,32.88465,-3.91434,NULL,NULL,NULL,NULL
OUI007,32.775,-3.982,OU07,23/11/2001 08:52:00,32.77509,-3.9821,NULL,NULL,NULL,NULL
OUI030,32.855,-3.917,OU30,23/11/2001 09:10:00,32.85471,-3.91679,NULL,NULL,NULL,NULL
OUI008,32.775,-3.945,OU08,23/11/2001 09:48:00,32.77546,-3.94485,NULL,NULL,NULL,NULL
OUI031,32.854,-3.881,OU31,23/11/2001 10:12:00,32.85444,-3.8814,NULL,NULL,NULL,NULL
OUI009,32.775,-3.916,OU09,23/11/2001 10:35:00,32.77454,-3.9159,NULL,NULL,NULL,NULL
OUI017,32.801,-3.851,OU17,23/11/2001 14:35:00,32.80068,-3.85116,NULL,NULL,NULL,NULL
OUI010,32.774,-3.885,OU10,23/11/2001 14:52:00,32.77385,-3.88496,OU10A,32.77621,-3.89128,1
OUI016,32.802,-3.883,OU16,23/11/2001 15:51:00,32.80202,-3.88326,NULL,NULL,NULL,NULL
ENJ038,33.193,-4.648,EN38,10/12/2001 7:27,33.19272,-4.64849,NULL,NULL,NULL,NULL
ENJ025,33.137,-4.685,EN25,10/12/2001 7:29,33.137,-4.68529,NULL,NULL,NULL,NULL
ENJ039,33.191,-4.621,EN39,10/12/2001 8:13,33.19127,-4.62096,NULL,NULL,NULL,NULL
ENJ026,33.138,-4.651,EN26,10/12/2001 8:15,33.13756,-4.65056,NULL,NULL,NULL,NULL
ENJ027,33.137,-4.621,EN27,10/12/2001 8:59,33.13723,-4.62116,NULL,NULL,NULL,NULL
ENJ040,33.190,-4.592,EN40,10/12/2001 9:02,33.19024,-4.59227,NULL,NULL,NULL,NULL
ENJ028,33.137,-4.589,EN28,10/12/2001 9:46,33.13704,-4.58899,NULL,NULL,NULL,NULL
ENJ035,33.164,-4.556,EN35,10/12/2001 9:53,33.16372,-4.55633,NULL,NULL,NULL,NULL
ENJ032,33.164,-4.653,EN32,11/12/2001 7:26,33.1643,-4.65303,NULL,NULL,NULL,NULL
ENJ018,33.110,-4.685,EN18,11/12/2001 7:44,33.11031,-4.68514,NULL,NULL,NULL,NULL
ENJ033,33.164,-4.621,EN33,11/12/2001 8:15,33.1643,-4.62098,NULL,NULL,NULL,NULL
ENJ019,33.110,-4.653,EN19,11/12/2001 8:26,33.11008,-4.65301,NULL,NULL,NULL,NULL
ENJ034,33.164,-4.589,EN34,11/12/2001 9:03,33.16431,-4.58888,NULL,NULL,NULL,NULL
ENJ020,33.111,-4.620,EN20,11/12/2001 9:38,33.11148,-4.61963,NULL,NULL,NULL,NULL
ENJ036,33.163,-4.525,EN36,11/12/2001 9:59,33.16281,-4.52487,NULL,NULL,NULL,NULL
ENJ029,33.137,-4.556,EN29,11/12/2001 10:29,33.13675,-4.55612,NULL,NULL,NULL,NULL
ENJ009,33.082,-4.715,EN09,12/12/2001 7:28,33.08241,-4.71533,NULL,NULL,NULL,NULL
ENJ021,33.108,-4.587,EN21,12/12/2001 7:52,33.10809,-4.58664,NULL,NULL,NULL,NULL
ENJ010,33.083,-4.686,EN10,12/12/2001 8:27,33.08335,-4.68555,NULL,NULL,NULL,NULL
ENJ022,33.108,-4.554,EN22,12/12/2001 8:43,33.10773,-4.55426,NULL,NULL,NULL,NULL
ENJ002,33.058,-4.684,EN02,12/12/2001 9:11,33.05751,-4.68401,NULL,NULL,NULL,NULL
ENJ023,33.110,-4.525,EN23,12/12/2001 9:30,33.11027,-4.52473,NULL,NULL,NULL,NULL
ENJ003,33.056,-4.653,EN03,12/12/2001 9:59,33.05629,-4.65343,NULL,NULL,NULL,NULL
ENJ015,33.083,-4.525,EN15,12/12/2001 10:15,33.08323,-4.5247,NULL,NULL,NULL,NULL
ENJ013,33.080,-4.587,EN13,13/12/2001 07:24:00,33.08003,-4.58729,NULL,NULL,NULL,NULL
ENJ014,33.083,-4.558,EN14,13/12/2001 08:08:00,33.08264,-4.55772,NULL,NULL,NULL,NULL
ENJ012,33.083,-4.622,EN12,13/12/2001 08:55:00,33.08343,-4.62188,NULL,NULL,NULL,NULL
ENJ011,33.081,-4.655,EN11,13/12/2001 09:41:00,33.08065,-4.65517,NULL,NULL,NULL,NULL
ENJ004,33.054,-4.624,EN04,13/12/2001 10:25:00,33.05368,-4.6238,NULL,NULL,NULL,NULL
TAM179,32.538,-2.009,TA179,8/1/2002 7:39,32.53846,-2.009,NULL,NULL,NULL,NULL
TAM198,32.566,-2.169,TA198,8/1/2002 8:01,32.56553,-2.16917,TA198A,32.56173,-2.16853,1
TAM178,32.537,-2.040,TA178,8/1/2002 8:31,32.53729,-2.03964,NULL,NULL,NULL,NULL
TAM174,32.537,-2.168,TA174,8/1/2002 8:49,32.53698,-2.16834,NULL,NULL,NULL,NULL
TAM177,32.537,-2.073,TA177,8/1/2002 9:19,32.53712,-2.07261,NULL,NULL,NULL,NULL
TAM151,32.511,-2.169,TA151,8/1/2002 9:31,32.51069,-2.16948,NULL,NULL,NULL,NULL
TAM176,32.539,-2.106,TA176,8/1/2002 10:05,32.53861,-2.10633,NULL,NULL,NULL,NULL
TAM129,32.484,-2.172,TA129,8/1/2002 10:11,32.48353,-2.17155,NULL,NULL,NULL,NULL
TAM200,32.566,-2.106,TA200,9/1/2002 7:19,32.56578,-2.10559,NULL,NULL,NULL,NULL
TAM108,32.457,-2.170,TA108,9/1/2002 7:24,32.45709,-2.16993,NULL,NULL,NULL,NULL
TAM199,32.566,-2.136,TA199,9/1/2002 8:06,32.56606,-2.1363,NULL,NULL,NULL,NULL
TAM088,32.430,-2.170,TA088,9/1/2002 8:17,32.43025,-2.17029,NULL,NULL,NULL,NULL
TAM175,32.538,-2.137,TA175,9/1/2002 8:56,32.53844,-2.13672,NULL,NULL,NULL,NULL
TAM087,32.430,-2.203,TA087,9/1/2002 9:04,32.43037,-2.20262,NULL,NULL,NULL,NULL
TAM107,32.458,-2.201,TA107,9/1/2002 9:52,32.45774,-2.20147,NULL,NULL,NULL,NULL
TAM140,32.513,-2.521,TA140,9/1/2002 15:04,32.51338,-2.5209,NULL,NULL,NULL,NULL
TAM138,32.514,-2.585,TA138,9/1/2002 15:15,32.51403,-2.58454,NULL,NULL,NULL,NULL
TAM163,32.542,-2.522,TA163,9/1/2002 15:51,32.54224,-2.52216,NULL,NULL,NULL,NULL
TAM161,32.541,-2.585,TA161,9/1/2002 15:59,32.54094,-2.58473,NULL,NULL,NULL,NULL
TAM162,32.540,-2.554,TA162,9/1/2002 16:38,32.5404,-2.55366,NULL,NULL,NULL,NULL
TAM160,32.541,-2.616,TA160,9/1/2002 16:50,32.54134,-2.61609,NULL,NULL,NULL,NULL
TAM118,32.486,-2.521,TA118,10/1/2002 7:39,32.48608,-2.52107,NULL,NULL,NULL,NULL
TAM116,32.486,-2.585,TA116,10/1/2002 7:47,32.48646,-2.58511,NULL,NULL,NULL,NULL
TAM097,32.459,-2.521,TA097,10/1/2002 8:24,32.45926,-2.52113,NULL,NULL,NULL,NULL
TAM095,32.459,-2.586,TA095,10/1/2002 8:30,32.45947,-2.58552,NULL,NULL,NULL,NULL
TAM075,32.432,-2.585,TA075,10/1/2002 9:14,32.43205,-2.58511,NULL,NULL,NULL,NULL
TAM077,32.432,-2.521,TA077,10/1/2002 9:46,32.43211,-2.52136,NULL,NULL,NULL,NULL
TAM056,32.405,-2.585,TA056,10/1/2002 10:18,32.40523,-2.5853,NULL,NULL,NULL,NULL
TAM090,32.460,-2.745,TA090,10/1/2002 14:36,32.45968,-2.7445,TA090A,32.46466,-2.74344,2
TAM053,32.407,-2.680,TA053,10/1/2002 14:42,32.40661,-2.67977,NULL,NULL,NULL,NULL
TAM072,32.433,-2.681,TA072,10/1/2002 15:29,32.43275,-2.6809,NULL,NULL,NULL,NULL
TAM111,32.488,-2.749,TA111,10/1/2002 15:33,32.4877,-2.7494,NULL,NULL,NULL,NULL
TAM092,32.460,-2.681,TA092,10/1/2002 16:18,32.45974,-2.68089,NULL,NULL,NULL,NULL
TAM156,32.540,-2.740,TA156,10/1/2002 16:27,32.54031,-2.7401,NULL,NULL,NULL,NULL
TAM059,32.404,-2.488,TA059,11/1/2002 7:48,32.40431,-2.48798,NULL,NULL,NULL,NULL
TAM074,32.433,-2.617,TA074,11/1/2002 7:51,32.43256,-2.61735,NULL,NULL,NULL,NULL
TAM058,32.406,-2.523,TA058,11/1/2002 8:33,32.40636,-2.52271,NULL,NULL,NULL,NULL
TAM094,32.459,-2.616,TA094,11/1/2002 8:36,32.45906,-2.61639,NULL,NULL,NULL,NULL
TAM115,32.487,-2.617,TA115,11/1/2002 9:18,32.48682,-2.61683,NULL,NULL,NULL,NULL
TAM057,32.402,-2.560,TA057,11/1/2002 9:20,32.40166,-2.55973,NULL,NULL,NULL,NULL
TAM137,32.513,-2.617,TA137,11/1/2002 9:59,32.51347,-2.61697,NULL,NULL,NULL,NULL
TAM055,32.405,-2.617,TA055,11/1/2002 10:12,32.4052,-2.61714,NULL,NULL,NULL,NULL
TAM136,32.514,-2.649,TA136,11/1/2002 10:49,32.51382,-2.64887,NULL,NULL,NULL,NULL
TAM054,32.404,-2.647,TA054,11/1/2002 10:58,32.40434,-2.64737,NULL,NULL,NULL,NULL
TAM159,32.540,-2.648,TA159,11/1/2002 14:58,32.54043,-2.64791,NULL,NULL,NULL,NULL
TAM157,32.532,-2.715,TA157,11/1/2002 15:03,32.53204,-2.71483,NULL,NULL,NULL,NULL
TAM134,32.514,-2.713,TA134,11/1/2002 15:47,32.51379,-2.71257,NULL,NULL,NULL,NULL
TAM114,32.487,-2.649,TA114,11/1/2002 16:03,32.48692,-2.64855,NULL,NULL,NULL,NULL
TAM112,32.487,-2.713,TA112,11/1/2002 16:34,32.48694,-2.71268,NULL,NULL,NULL,NULL
TAM093,32.460,-2.649,TA093,11/1/2002 16:48,32.45995,-2.64853,NULL,NULL,NULL,NULL
TAM139,32.513,-2.553,TA139,12/1/2002 7:41,32.51335,-2.55282,NULL,NULL,NULL,NULL
TAM158,32.541,-2.680,TA158,12/1/2002 8:09,32.54105,-2.68017,NULL,NULL,NULL,NULL
TAM117,32.486,-2.553,TA117,12/1/2002 8:24,32.48607,-2.55277,NULL,NULL,NULL,NULL
TAM135,32.513,-2.682,TA135,12/1/2002 8:58,32.51336,-2.68151,NULL,NULL,NULL,NULL
TAM096,32.459,-2.553,TA096,12/1/2002 9:09,32.45932,-2.55309,NULL,NULL,NULL,NULL
TAM113,32.489,-2.681,TA113,12/1/2002 9:43,32.48871,-2.68142,NULL,NULL,NULL,NULL
TAM076,32.432,-2.553,TA076,12/1/2002 10:00,32.43217,-2.55333,NULL,NULL,NULL,NULL
TAM091,32.460,-2.713,TA091,12/1/2002 10:40,32.45974,-2.7127,NULL,NULL,NULL,NULL
TAM070,32.433,-2.745,TA070,12/1/2002 11:29,32.43277,-2.74518,NULL,NULL,NULL,NULL
TAM071,32.433,-2.713,TA071,12/1/2002 15:08,32.43292,-2.71268,NULL,NULL,NULL,NULL
TAM078,32.432,-2.489,TA078,12/1/2002 15:28,32.43196,-2.48915,NULL,NULL,NULL,NULL
TAM098,32.459,-2.490,TA098,12/1/2002 15:44,32.45905,-2.48955,NULL,NULL,NULL,NULL
TAM052,32.406,-2.713,TA052,12/1/2002 15:53,32.40606,-2.71293,NULL,NULL,NULL,NULL
TAM119,32.486,-2.488,TA119,12/1/2002 16:23,32.48579,-2.4884,NULL,NULL,NULL,NULL
TAM073,32.432,-2.649,TA073,12/1/2002 16:45,32.43225,-2.64892,NULL,NULL,NULL,NULL
TAM154,32.511,-2.074,TA154,14/01/2002 07:19:00,32.51092,-2.07367,NULL,NULL,NULL,NULL
TAM197,32.566,-2.201,TA197,14/01/2002 07:36:00,32.56567,-2.20092,NULL,NULL,NULL,NULL
TAM153,32.509,-2.105,TA153,14/01/2002 08:06:00,32.50881,-2.1045,NULL,NULL,NULL,NULL
TAM173,32.539,-2.201,TA173,14/01/2002 08:23:00,32.53873,-2.20127,NULL,NULL,NULL,NULL
TAM152,32.511,-2.138,TA152,14/01/2002 08:59:00,32.51132,-2.13785,NULL,NULL,NULL,NULL
TAM150,32.514,-2.202,TA150,14/01/2002 09:20:00,32.51361,-2.20157,NULL,NULL,NULL,NULL
TAM130,32.484,-2.138,TA130,14/01/2002 09:44:00,32.48443,-2.13716,NULL,NULL,NULL,NULL
TAM128,32.485,-2.200,TA128,14/01/2002 10:11:00,32.48542,-2.19982,NULL,NULL,NULL,NULL
TAM141,32.513,-2.489,TA141,14/01/2002 15:30:00,32.51319,-2.4888,NULL,NULL,NULL,NULL
TAM099,32.459,-2.456,TA099,14/01/2002 16:03:00,32.45932,-2.45644,NULL,NULL,NULL,NULL
TAM079,32.431,-2.457,TA079,14/01/2002 16:24:00,32.43061,-2.45668,NULL,NULL,NULL,NULL
TAM121,32.486,-2.425,TA121,15/01/2002 07:30:00,32.48557,-2.4251,NULL,NULL,NULL,NULL
TAM164,32.540,-2.489,TA164,15/01/2002 07:33:00,32.54029,-2.48876,NULL,NULL,NULL,NULL
TAM165,32.541,-2.457,TA165,15/01/2002 08:21:00,32.54051,-2.45691,NULL,NULL,NULL,NULL
TAM100,32.459,-2.425,TA100,15/01/2002 08:23:00,32.45882,-2.42544,NULL,NULL,NULL,NULL
TAM080,32.432,-2.426,TA080,15/01/2002 08:58:00,32.43195,-2.4257,NULL,NULL,NULL,NULL
TAM142,32.513,-2.457,TA142,15/01/2002 09:10:00,32.51288,-2.45691,NULL,NULL,NULL,NULL
TAM120,32.486,-2.457,TA120,15/01/2002 09:47:00,32.48596,-2.4572,NULL,NULL,NULL,NULL
TAM060,32.405,-2.456,TA060,15/01/2002 09:52:00,32.40496,-2.45587,NULL,NULL,NULL,NULL
TAM143,32.512,-2.425,TA143,15/01/2002 15:10:00,32.51236,-2.42453,TA143A,32.51316,-2.4332,4
TAM062,32.407,-2.394,TA062,15/01/2002 15:10:00,32.40676,-2.39425,NULL,NULL,NULL,NULL
TAM081,32.432,-2.394,TA081,15/01/2002 15:52:00,32.43158,-2.39369,NULL,NULL,NULL,NULL
TAM166,32.540,-2.425,TA166,15/01/2002 16:19:00,32.54006,-2.42455,NULL,NULL,NULL,NULL
TAM101,32.459,-2.394,TA101,15/01/2002 16:38:00,32.45865,-2.39351,NULL,NULL,NULL,NULL
TAM167,32.540,-2.393,TA167,15/01/2002 17:08:00,32.53964,-2.39278,TA167A,32.53739,-2.3871,1
TAM122,32.486,-2.393,TA122,16/01/2002 07:43:00,32.48572,-2.3933,NULL,NULL,NULL,NULL
TAM102,32.458,-2.362,TA102,16/01/2002 07:50:00,32.45847,-2.36167,NULL,NULL,NULL,NULL
TAM082,32.431,-2.362,TA082,16/01/2002 08:28:00,32.43113,-2.36177,NULL,NULL,NULL,NULL
TAM144,32.512,-2.394,TA144,16/01/2002 08:29:00,32.51228,-2.39409,NULL,NULL,NULL,NULL
TAM063,32.404,-2.362,TA063,16/01/2002 09:12:00,32.40429,-2.36186,NULL,NULL,NULL,NULL
TAM145,32.513,-2.361,TA145,16/01/2002 09:22:00,32.51256,-2.36112,NULL,NULL,NULL,NULL
TAM064,32.404,-2.332,TA064,16/01/2002 09:55:00,32.40439,-2.33238,NULL,NULL,NULL,NULL
TAM146,32.512,-2.329,TA146,16/01/2002 15:20:00,32.51242,-2.32901,NULL,NULL,NULL,NULL
